English,Persian
book,کتاب
apple,سیب 
cat,گربه
dog,سگ
house,خانه
car,ماشین
tree,درخت
water,آب
sun,خورشید
moon,ماه
school,مدرسه
pen,خودکار
computer,کامپیوتر
phone,تلفن
table,میز
chair,صندلی
window,پنجره
door,در
flower,گل
city,شهر
river,رودخانه
mountain,کوه
road,جاده
food,غذا
bread,نان
milk,شیر
coffee,قهوه
tea,چای
music,موسیقی
movie,فیلم
bird,پرنده
fish,ماهی
family,خانواده
friend,دوست
schoolbag,کوله‌پشتی
shirt,پیراهن
pants,شلوار
shoes,کفش
hat,کلاه
bag,کیف
ball,توپ
game,بازی
garden,باغ
schoolteacher,معلم
student,دانش‌آموز
hospital,بیمارستان
doctor,پزشک
nurse,پرستار
appletree,درخت سیب
letter,نامه
mom,مامان
dad,بابا
good,خوب
thanks,مرسي
ring,حلقه
line,خط
note,يادداشت
song,آهنگ
time,زمان
short,کوتاه
love,عشق
hand,دست
gold,طلا
color,رنگ
pink,صورتي
blue,آبي
green,سبز
black,مشکي
soft,نرم
hard,سخت
singer,خواننده
pizza,پيتزا
ice,يخ
hot,داغ
idea,نظر،ايده
